"Date","Log_Return_Pct"
2014-01-03,-0.0333020520160154
2014-01-06,-0.251492725375968
2014-01-07,0.606334537539155
2014-01-08,-0.0212231503451399
2014-01-09,0.0348248543514451
2014-01-10,0.230403049045513
2014-01-13,-1.26559664587944
2014-01-14,1.07598761199341
2014-01-15,0.515288913468304
2014-01-16,-0.134802848642579
2014-01-17,-0.390278032001579
2014-01-21,0.276991224281797
2014-01-22,0.0574700049767785
2014-01-23,-0.892932476457098
2014-01-24,-2.10964214273401
2014-01-27,-0.488822185333948
2014-01-28,0.612187562243172
2014-01-29,-1.02617039084958
2014-01-30,1.12040443722181
2014-01-31,-0.648629021424973
2014-02-03,-2.30966047044872
2014-02-04,0.761204368308199
2014-02-05,-0.203028240865688
2014-02-06,1.23630544533757
2014-02-07,1.32141935042966
2014-02-10,0.156800480325447
2014-02-11,1.10013759442547
2014-02-12,-0.0269298647721072
2014-02-13,0.579321197877647
2014-02-14,0.479768938554859
2014-02-18,0.115780339255878
2014-02-19,-0.654586177319594
2014-02-20,0.601334182693414
2014-02-21,-0.192056667318141
2014-02-24,0.616745555233145
2014-02-25,-0.134859067677429
2014-02-26,0.00216997421249587
2014-02-27,0.493588140841617
2014-02-28,0.277882428133758
2014-03-03,-0.74058662004548
2014-03-04,1.51523226761423
2014-03-05,-0.00533527496644481
2014-03-06,0.171693349685675
2014-03-07,0.0537944577115645
2014-03-10,-0.04633536412193
2014-03-11,-0.509509697521526
2014-03-12,0.0305124323209505
2014-03-13,-1.17700916958832
2014-03-14,-0.282576641744559
2014-03-17,0.956771769503906
2014-03-18,0.719368224547345
2014-03-19,-0.615052509673486
2014-03-20,0.602233408752184
2014-03-21,-0.293698011660926
2014-03-24,-0.487658095936272
2014-03-25,0.439427084882205
2014-03-26,-0.702493695487583
2014-03-27,-0.190189134397745
2014-03-28,0.462948924340978
2014-03-31,0.789287138479633
2014-04-01,0.701468804421346
2014-04-02,0.284926383183937
2014-04-03,-0.112708521301119
2014-04-04,-1.2616542925314
2014-04-07,-1.08083123321494
2014-04-08,0.37435379801769
2014-04-09,1.08590393419661
2014-04-10,-2.11059677373875
2014-04-11,-0.953205973989757
2014-04-14,0.818370815074054
2014-04-15,0.673457951770384
2014-04-16,1.04338679487661
2014-04-17,0.136292370709423
2014-04-21,0.376801565557194
2014-04-22,0.408378899612849
2014-04-23,-0.221576686252245
2014-04-24,0.171548827533119
2014-04-25,-0.812934474350158
2014-04-28,0.32308111625019
2014-04-29,0.474946050463387
2014-04-30,0.298754980270122
2014-05-01,-0.0143271744332374
2014-05-02,-0.134935502987155
2014-05-05,0.186946758234008
2014-05-06,-0.902903146199119
2014-05-07,0.560075487103351
2014-05-08,-0.137456923278645
2014-05-09,0.151832319487877
2014-05-12,0.962625617231616
2014-05-13,0.0421668788282759
2014-05-14,-0.471208956501723
2014-05-15,-0.940590418393494
2014-05-16,0.373996281900091
2014-05-19,0.383741418970374
2014-05-20,-0.651960460854273
