"Date","Return","VaR_HS_99","VaR_Norm_99"
2014-01-03,-0.0333020520160154,NA,NA
2014-01-06,-0.251492725375968,NA,NA
2014-01-07,0.606334537539155,NA,NA
2014-01-08,-0.0212231503451399,NA,NA
2014-01-09,0.0348248543514451,NA,NA
2014-01-10,0.230403049045513,NA,NA
2014-01-13,-1.26559664587944,NA,NA
2014-01-14,1.07598761199341,NA,NA
2014-01-15,0.515288913468304,NA,NA
2014-01-16,-0.134802848642579,NA,NA
2014-01-17,-0.390278032001579,NA,NA
2014-01-21,0.276991224281797,NA,NA
2014-01-22,0.0574700049767785,NA,NA
2014-01-23,-0.892932476457098,NA,NA
2014-01-24,-2.10964214273401,NA,NA
2014-01-27,-0.488822185333948,NA,NA
2014-01-28,0.612187562243172,NA,NA
2014-01-29,-1.02617039084958,NA,NA
2014-01-30,1.12040443722181,NA,NA
2014-01-31,-0.648629021424973,NA,NA
2014-02-03,-2.30966047044872,NA,NA
2014-02-04,0.761204368308199,NA,NA
2014-02-05,-0.203028240865688,NA,NA
2014-02-06,1.23630544533757,NA,NA
2014-02-07,1.32141935042966,NA,NA
2014-02-10,0.156800480325447,NA,NA
2014-02-11,1.10013759442547,NA,NA
2014-02-12,-0.0269298647721072,NA,NA
2014-02-13,0.579321197877647,NA,NA
2014-02-14,0.479768938554859,NA,NA
2014-02-18,0.115780339255878,NA,NA
2014-02-19,-0.654586177319594,NA,NA
2014-02-20,0.601334182693414,NA,NA
2014-02-21,-0.192056667318141,NA,NA
2014-02-24,0.616745555233145,NA,NA
2014-02-25,-0.134859067677429,NA,NA
2014-02-26,0.00216997421249587,NA,NA
2014-02-27,0.493588140841617,NA,NA
2014-02-28,0.277882428133758,NA,NA
2014-03-03,-0.74058662004548,NA,NA
2014-03-04,1.51523226761423,NA,NA
2014-03-05,-0.00533527496644481,NA,NA
2014-03-06,0.171693349685675,NA,NA
2014-03-07,0.0537944577115645,NA,NA
2014-03-10,-0.04633536412193,NA,NA
2014-03-11,-0.509509697521526,NA,NA
2014-03-12,0.0305124323209505,NA,NA
2014-03-13,-1.17700916958832,NA,NA
2014-03-14,-0.282576641744559,NA,NA
2014-03-17,0.956771769503906,NA,NA
2014-03-18,0.719368224547345,NA,NA
2014-03-19,-0.615052509673486,NA,NA
2014-03-20,0.602233408752184,NA,NA
2014-03-21,-0.293698011660926,NA,NA
2014-03-24,-0.487658095936272,NA,NA
2014-03-25,0.439427084882205,NA,NA
2014-03-26,-0.702493695487583,NA,NA
2014-03-27,-0.190189134397745,NA,NA
2014-03-28,0.462948924340978,NA,NA
2014-03-31,0.789287138479633,NA,NA
2014-04-01,0.701468804421346,NA,NA
2014-04-02,0.284926383183937,NA,NA
2014-04-03,-0.112708521301119,NA,NA
2014-04-04,-1.2616542925314,NA,NA
2014-04-07,-1.08083123321494,NA,NA
2014-04-08,0.37435379801769,NA,NA
2014-04-09,1.08590393419661,NA,NA
2014-04-10,-2.11059677373875,NA,NA
2014-04-11,-0.953205973989757,NA,NA
2014-04-14,0.818370815074054,NA,NA
2014-04-15,0.673457951770384,NA,NA
2014-04-16,1.04338679487661,NA,NA
2014-04-17,0.136292370709423,NA,NA
2014-04-21,0.376801565557194,NA,NA
2014-04-22,0.408378899612849,NA,NA
2014-04-23,-0.221576686252245,NA,NA
2014-04-24,0.171548827533119,NA,NA
2014-04-25,-0.812934474350158,NA,NA
2014-04-28,0.32308111625019,NA,NA
2014-04-29,0.474946050463387,NA,NA
2014-04-30,0.298754980270122,NA,NA
2014-05-01,-0.0143271744332374,NA,NA
2014-05-02,-0.134935502987155,NA,NA
2014-05-05,0.186946758234008,NA,NA
2014-05-06,-0.902903146199119,NA,NA
2014-05-07,0.560075487103351,NA,NA
2014-05-08,-0.137456923278645,NA,NA
2014-05-09,0.151832319487877,NA,NA
2014-05-12,0.962625617231616,NA,NA
2014-05-13,0.0421668788282759,NA,NA
2014-05-14,-0.471208956501723,NA,NA
2014-05-15,-0.940590418393494,NA,NA
2014-05-16,0.373996281900091,NA,NA
2014-05-19,0.383741418970374,NA,NA
2014-05-20,-0.651960460854273,NA,NA
2014-05-21,0.808334054774651,NA,NA
2014-05-22,0.235944419471412,NA,NA
2014-05-23,0.4239392917885,NA,NA
2014-05-27,0.596995021152846,NA,NA
2014-05-28,-0.111469275005849,NA,NA
2014-05-29,0.535275865736118,NA,NA
2014-05-30,0.184198044310158,NA,NA
2014-06-02,0.0727561364058715,NA,NA
2014-06-03,-0.0379288469535055,NA,NA
2014-06-04,0.188987660636286,NA,NA
2014-06-05,0.650408211966269,NA,NA
2014-06-06,0.461708354801971,NA,NA
2014-06-09,0.0938330856486758,NA,NA
2014-06-10,-0.0246013881879392,NA,NA
